Reference, Value, Footprint, Datasheet, MouserPN
R16,220,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ221V"
R17,220,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ221V"
C19,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C15,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C14,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C12,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C10,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C20,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C21,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C22,0.1uF,Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C1,"0.1uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C4,"0.1uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
C2,"0.1uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",710-885012207072"
R21,10K,Resistors_SMD:R_0805_HandSoldering,,",588-AS08J1002ET"
R20,10K,Resistors_SMD:R_0805_HandSoldering,,",588-AS08J1002ET"
R18,10K,Resistors_SMD:R_0805_HandSoldering,,",588-AS08J1002ET"
C5,"10uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G106KXQTBC"
C6,"10uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G106KXQTBC"
R12,12K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ123V"
R15,1K,Resistors_SMD:R_0805_HandSoldering,,",603-RC0805FR-071KL"
R11,1M,Resistors_SMD:R_0805_HandSoldering,,",603-RT0805FRD071ML"
R19,2.2K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ222V"
C3,"22uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G226MXYTBC"
C7,"22uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G226MXYTBC"
C9,"22uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G226MXYTBC"
C8,"22uF, 6.3V",Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805G226MXYTBC"
C11,27pF,Capacitors_SMD:C_0805_HandSoldering,,",80-C0805C270J5G"
C13,27pF,Capacitors_SMD:C_0805_HandSoldering,,",80-C0805C270J5G"
C18,3.3uF,Capacitors_SMD:C_0805_HandSoldering,,",77-VJ0805V335ZXQTBC"
R6,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R5,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R1,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R2,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R3,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R7,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R9,4.7k,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R10,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R4,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R8,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
R13,4.7K,Resistors_SMD:R_0805_HandSoldering,,",667-ERJ-6GEYJ472V"
C16,4.7uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,",647-F931E475MBA"
C17,4.7uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,",647-F931E475MBA"
U9,93C56R,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,",511-M93C56-RMN6TP"
U2,AP1117,TO_SOT_Packages_SMD:SOT-223,,",926-LM1117MPX3.3NOPB"
P6,CONN_10X2,Pin_Headers:Pin_Header_Straight_2x10,,",653-XG4C-2031"
X1,CRYSTAL,Crystals:HC-49V,,",520-HCA1200-SX"
LED1,DUAL_12_SEGMENT,DC24Badge:LTP-3786E,,",859-LTP-3784E"
LED2,DUAL_12_SEGMENT,DC24Badge:LTP-3786E,,",859-LTP-3784E"
LED3,DUAL_12_SEGMENT,DC24Badge:LTP-3786E,,",859-LTP-3784E"
LED4,DUAL_12_SEGMENT,DC24Badge:LTP-3786E,,",859-LTP-3784E"
U7,FT2232H,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,,",895-FT2232HL"
D1,LED,LEDs:LED_0805,,",720-LGR971-KN-1"
D2,LED,LEDs:LED_0805,,",720-LHR974-LP-1"
U4,LXDC2SCAAB-352,DC24Badge:LXDC2SCAAB-352,,",81-LXDC2SCAAB-352"
U5,LXDC44AAAC-169,DC24Badge:LXDC44A,,",81-LXDC44AAAC-169"
U3,RM24C64C,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,",988-RM24EP128A-BSNCB"
SW6,SPST,DC24Badge:MS-100406,,",10TC605"
SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQP0,,",667-EVQ-PLHA15"
SW2,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQP0,,",667-EVQ-PLHA15"
SW3,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQP0,,",667-EVQ-PLHA15"
SW4,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQP0,,",667-EVQ-PLHA15"
SW5,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQP0,,",667-EVQ-PLHA15"
U8,TXS0108E,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,",595-TXS0108EPWR"
CON1,USB-MINI-B,Connect:USB_Micro-B,,",798-ZX62D-B-5PA830"
